z3,cxxsat,minisat,crypto
19.56,46.69,5.44,16.27
14.74,36.18,18.42,9.14
6.25,27.00,4.18,5.43
3.38,57.98,6.03,0.40
5.76,64.36,52.88,7.55
0.93,6.10,0.28,2.58
9.24,9.96,9.98,2.73
12.06,163.28,35.54,5.87
6.03,15.89,8.52,14.28
13.98,9.27,5.55,0.82
0.64,60.29,8.46,8.52
8.96,57.76,12.96,14.64
9.55,26.29,10.88,5.55
9.22,32.03,16.98,2.42
6.56,162.75,11.81,5.28
6.76,21.93,3.30,5.77
8.06,7.57,9.29,7.76
25.53,31.79,19.32,10.42
3.06,96.86,33.72,10.83
11.25,16.74,45.10,22.50
3.82,23.72,14.81,3.53
1.66,26.83,41.84,22.17
6.92,42.14,30.69,29.71
3.59,5.66,11.08,3.55
4.40,9.09,14.78,11.44
1.92,10.09,5.40,4.04
9.12,8.67,12.06,11.72
21.70,9.92,30.45,10.85
7.97,154.23,4.36,4.09
5.49,53.84,34.77,6.64
5.47,5.50,4.43,10.54
5.11,64.75,17.21,1.26
2.79,11.68,27.34,13.82
3.40,66.48,49.48,4.58
9.67,9.77,20.92,13.54
10.32,66.80,17.82,5.30
2.93,5.17,1.68,0.88
14.36,40.40,0.87,8.10
1.43,9.88,8.23,8.62
16.59,9.41,21.17,1.03
1.20,6.92,11.08,2.71
19.54,2.39,60.05,5.38
5.24,30.07,6.81,3.34
7.79,54.66,36.29,3.72
2.97,23.88,7.14,0.17
11.76,15.67,12.66,8.68
1.24,9.69,4.32,4.78
4.70,22.14,21.32,1.82
8.62,9.78,26.08,13.56
2.33,87.69,7.66,8.33
4.72,35.09,8.01,2.61
15.65,28.26,22.03,1.16
16.30,30.82,6.37,4.56
5.72,24.11,47.82,18.68
0.78,7.10,9.76,4.06
17.96,25.65,37.75,17.66
1.92,9.25,5.88,2.64
6.56,2.76,0.25,22.11
14.94,26.13,28.70,20.76
15.23,7.96,5.30,3.74
8.33,30.11,25.36,20.16
0.62,40.38,15.17,12.50
6.11,115.60,5.82,49.76
1.46,7.38,5.18,10.51
14.76,49.59,50.46,19.14
14.53,29.88,11.89,4.54
2.70,4.21,26.87,5.62
14.36,3.78,36.11,2.96
5.81,52.44,12.31,4.63
7.23,18.08,18.04,4.51
8.60,14.92,6.98,6.23
11.63,97.46,22.20,24.01
4.40,10.25,4.50,0.46
1.89,51.94,16.04,1.06
4.10,34.27,6.20,1.16
10.13,22.72,28.24,0.78
1.34,111.59,52.62,9.52
6.90,126.30,1.81,3.16
0.70,4.04,12.51,1.09
6.37,14.16,5.48,0.73
10.88,114.77,15.79,19.50
6.45,109.27,8.64,10.58
9.63,10.79,8.69,3.67
0.59,43.74,21.72,4.08
5.20,88.28,38.49,0.64
1.38,43.63,7.64,4.62
13.16,64.64,17.40,8.16
8.51,36.48,14.97,31.28
0.21,38.02,14.71,24.78
4.17,21.34,13.90,0.22
3.17,49.28,18.68,2.62
12.76,57.88,17.67,2.93
5.34,15.64,90.87,1.12
5.73,39.34,2.83,0.88
15.29,106.98,23.21,19.39
14.79,11.91,12.17,4.35
14.70,28.89,13.88,17.88
1.24,10.44,8.30,27.36
10.93,121.50,20.84,16.60
2.59,44.63,55.45,38.18
19.94,82.36,4.35,9.75
3.37,46.47,7.25,1.24
13.51,59.66,30.96,2.99
2.23,20.99,6.64,1.05
5.66,19.46,28.05,9.51
6.51,17.22,16.55,1.99
5.51,55.95,2.19,2.88
1.30,12.74,4.58,0.92
8.19,11.19,37.68,0.43
2.57,18.11,0.43,6.84
17.61,126.98,68.17,10.79
2.62,17.52,2.27,2.24
8.17,117.26,9.78,3.61
6.62,84.12,8.54,3.91
4.78,9.22,10.59,0.05
16.40,54.52,8.48,4.38
2.55,52.26,23.84,1.19
3.42,40.88,5.49,9.31
0.80,59.65,57.04,5.88
13.81,62.28,10.71,1.46
2.67,21.92,0.50,4.50
3.26,35.50,19.95,2.91
5.13,50.27,35.83,33.82
3.08,1.59,5.20,0.15
1.39,30.35,26.56,0.92
16.46,46.31,9.25,5.52
4.88,17.77,11.72,6.34
19.52,55.19,31.46,28.03
7.49,103.92,105.44,12.34
1.31,94.53,42.86,16.46
